year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,deal_rating,ownerId,ownerEmail,ownerRole
2006,PONTIAC,Torrent,Base,suv,automatic,2ckdl73f566101612,nj,33,106225,burgundy,beige,wells fargo dealer services,4950,5400,Wed Jan 07 2015 09:30:00 GMT-0800 (PST),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2011,FORD,Escape,XLT,suv,automatic,1fmcu9dg7bkc44017,oh,33,49718,black,black,u s auto importing & sales,13800,12500,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT),Good Price,seed-dealer-001,dealer@carcatalog.local,dealer
2008,FORD,Taurus,SEL,sedan,automatic,1fahp24w98g176305,oh,1,119604,silver,tan,santander consumer,4575,1600,Tue Feb 17 2015 05:00:00 GMT-0800 (PST),Great Deal,seed-consumer-001,consumer@carcatalog.local,consumer
2012,NISSAN,Altima,2.5,sedan,automatic,1n4al2ap7cc163417,mo,34,41162,beige,beige,green toyota,11100,12700,Tue Jan 06 2015 03:00:00 GMT-0800 (PST),Fair Market,seed-dealer-001,dealer@carcatalog.local,dealer
2010,BMW,3 Series,328i,sedan,automatic,wbaph7g51anm51988,ca,4,91609,blue,beige,century dealer services corp,11000,12200,Tue Dec 23 2014 12:00:00 GMT-0800 (PST),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2008,SUZUKI,Forenza,Base,sedan,automatic,kl5jd56z88k807173,nc,24,84921,black,gray,santander consumer,2450,1700,Mon Jan 12 2015 09:30:00 GMT-0800 (PST),Good Price,seed-dealer-001,dealer@carcatalog.local,dealer
2005,CHEVROLET,Suburban,1500 LS,suv,automatic,3gnfk16z65g137468,va,34,163749,blue,beige,prince frederick chrysler jeep dodge inc,5225,6500,Thu Feb 12 2015 01:35:00 GMT-0800 (PST),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2012,FORD,Edge,Limited,suv,automatic,2fmdk3kc8cba26932,tx,42,38489,silver,tan,ford motor credit company llc,21100,22700,Thu Mar 05 2015 02:30:00 GMT-0800 (PST),Fair Market,seed-dealer-001,dealer@carcatalog.local,dealer
2010,FORD,Escape,XLT,suv,automatic,1fmcu9d73akc62710,fl,39,72847,black,tan,j c auto world inc,9050,11000,Tue Feb 10 2015 01:30:00 GMT-0800 (PST),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2012,BUICK,Verano,Base,sedan,automatic,1g4pp5sk8c4220503,fl,4,35503,gray,gray,auto trakk llc,12050,11800,Thu Feb 12 2015 01:30:00 GMT-0800 (PST),Fair Market,seed-dealer-001,dealer@carcatalog.local,dealer
2013,NISSAN,Leaf,S,hatchback,automatic,1n4az0cp5dc401041,wa,41,19507,black,black,nissan-infiniti lt,8425,7900,Wed May 27 2015 05:30:00 GMT-0700 (PDT),Good Price,seed-consumer-001,consumer@carcatalog.local,consumer
2013,NISSAN,Altima,2.5,sedan,automatic,1n4al3apxdn536882,ca,28,57080,white,black,the hertz corporation,10850,11000,Wed May 27 2015 05:30:00 GMT-0700 (PDT),Fair Market,seed-dealer-001,dealer@carcatalog.local,dealer
2008,PONTIAC,G6,GT,sedan,automatic,1g2zh57n684189907,co,19,143575,black,black,wells fargo dealer services,3425,3400,Wed Feb 04 2015 03:45:00 GMT-0800 (PST),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2009,KIA,Rio,LX,sedan,automatic,knade223796570980,tx,4,65585,silver,gray,university first federal credit union,4425,5000,Wed Jan 07 2015 10:05:00 GMT-0800 (PST),Fair Market,seed-dealer-001,dealer@carcatalog.local,dealer
2014,FORD,Fusion,SE,sedan,automatic,1fa6p0h72e5377517,wi,47,35746,white,black,lease plan usa,14250,14300,Wed Mar 04 2015 02:00:00 GMT-0800 (PST),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2014,CHRYSLER,Town And Country,Touring,minivan,automatic,2c4rc1bg9er382797,fl,4,19354,blue,black,enterprise holdings/gdp,19600,19800,Mon Mar 02 2015 04:30:00 GMT-0800 (PST),Fair Market,seed-dealer-001,dealer@carcatalog.local,dealer
2013,LINCOLN,Mks,Base,sedan,automatic,1lnhl9ek1dg603461,il,48,22771,silver,black,ford motor credit company llc,23800,25400,Tue Jun 16 2015 04:00:00 GMT-0700 (PDT),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2012,FORD,Focus,SE,sedan,automatic,1fahp3f2xcl283928,il,44,26142,gray,black,ford motor credit company llc,10050,10200,Tue Jan 13 2015 11:00:00 GMT-0800 (PST),Fair Market,seed-dealer-001,dealer@carcatalog.local,dealer
2012,CHEVROLET,Malibu,LT,sedan,automatic,1g1zc5e08cf259138,pa,3,24846,blue,black,exceptional motorcars ltd,11500,12200,Wed Jan 28 2015 01:00:00 GMT-0800 (PST),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2007,PONTIAC,Torrent,Base,suv,automatic,2ckdl63f676045627,ca,41,103357,white,black,ideal transportation,4700,4800,Wed Jan 07 2015 12:30:00 GMT-0800 (PST),Fair Market,seed-dealer-001,dealer@carcatalog.local,dealer
2014,FORD,Escape,SE,suv,automatic,1fmcu0gx5eua20969,mo,43,15736,silver,gray,ford motor credit company llc pd,17350,17300,Tue Jun 09 2015 03:30:00 GMT-0700 (PDT),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2014,NISSAN,Versa Note,1.6 SV,hatchback,automatic,3n1ce2cp8el372864,mo,37,39623,red,black,avis corporation,9200,9400,Tue Jun 02 2015 04:00:00 GMT-0700 (PDT),Fair Market,seed-dealer-001,dealer@carcatalog.local,dealer
2008,CHEVROLET,Hhr,LT,wagon,automatic,3gnda23d28s590299,il,,101338,silver,tan,bettenhausen motor sales inc,4700,3900,Thu Dec 18 2014 10:00:00 GMT-0800 (PST),Good Price,seed-consumer-001,consumer@carcatalog.local,consumer
2012,BUICK,Lacrosse,Premium I Group,sedan,automatic,1g4ge5e32cf248313,wi,4,26326,brown,beige,fiserv/usb dealer services northstar exchange,19750,19200,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT),Good Price,seed-dealer-001,dealer@carcatalog.local,dealer
2012,NISSAN,Sentra,2,sedan,automatic,3n1ab6ap9cl750276,ca,29,77706,black,gray,skyhigh remarketing inc,8100,7300,Wed Jan 28 2015 04:15:00 GMT-0800 (PST),Good Price,seed-consumer-001,consumer@carcatalog.local,consumer
2014,BMW,X6,xDrive35i,suv,automatic,5uxfg2c56e0k41608,oh,5,5292,white,black,bmw na manheim new jersey,52800,54000,Tue Jan 27 2015 06:00:00 GMT-0800 (PST),Fair Market,seed-dealer-001,dealer@carcatalog.local,dealer
2004,ACURA,Tsx,Base,sedan,manual,jh4cl95874c022183,ga,31,149335,gray,gray,roswell auto brokers inc,4800,5700,Thu Dec 18 2014 10:00:00 GMT-0800 (PST),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2006,PONTIAC,Torrent,Base,suv,automatic,2ckdl73f566101612,nj,33,106225,burgundy,beige,wells fargo dealer services,4950,5400,Wed Jan 07 2015 09:30:00 GMT-0800 (PST),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2013,TOYOTA,Camry,LE,sedan,automatic,4t1bf1fk8du276321,ca,38,42150,silver,gray,toyota motor credit corp,13500,14000,Mon Feb 09 2015 03:00:00 GMT-0800 (PST),Fair Market,seed-dealer-001,dealer@carcatalog.local,dealer
2015,HONDA,Civic,EX,sedan,automatic,2hgfb2f59fh523817,tx,49,18230,white,black,honda financial services,15800,16200,Wed Mar 18 2015 02:00:00 GMT-0700 (PDT),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2011,CHEVROLET,Cruze,LT,sedan,automatic,1g1pe5sb7b7208614,fl,35,67320,gray,black,ally financial,9200,9800,Thu Jan 15 2015 04:30:00 GMT-0800 (PST),Fair Market,seed-dealer-001,dealer@carcatalog.local,dealer
2009,HONDA,Accord,EX-L,sedan,automatic,1hgcp2f83aa163452,oh,28,98670,black,tan,honda financial services,9100,8700,Tue Dec 16 2014 05:00:00 GMT-0800 (PST),Good Price,seed-consumer-001,consumer@carcatalog.local,consumer
2014,TOYOTA,RAV4,XLE,suv,automatic,2t3rfrev4ew185724,ca,44,23850,white,black,toyota motor credit corp,20100,21000,Fri Apr 10 2015 03:00:00 GMT-0700 (PDT),Fair Market,seed-dealer-001,dealer@carcatalog.local,dealer
2010,JEEP,Grand Cherokee,Laredo,suv,automatic,1j4rr4gg7ac109876,co,32,88200,silver,gray,jpmorgan chase bank,11300,10900,Wed Feb 11 2015 02:30:00 GMT-0800 (PST),Good Price,seed-consumer-001,consumer@carcatalog.local,consumer
2012,VOLKSWAGEN,Jetta,SE,sedan,automatic,3vwfe7aj8cm386425,nc,41,45678,blue,black,vw credit inc,11500,12100,Mon Mar 02 2015 01:00:00 GMT-0800 (PST),Fair Market,seed-dealer-001,dealer@carcatalog.local,dealer
2007,TOYOTA,Corolla,LE,sedan,automatic,1nxbr32e57z792345,ga,25,112400,silver,gray,southeast toyota finance,6100,5800,Thu Jan 22 2015 08:00:00 GMT-0800 (PST),Good Price,seed-consumer-001,consumer@carcatalog.local,consumer
2015,FORD,F-150,XLT,truck,automatic,1ftew1ep7ffa13456,tx,47,12300,white,gray,ford motor credit company llc,31000,32500,Tue May 05 2015 03:00:00 GMT-0700 (PDT),Fair Market,seed-dealer-001,dealer@carcatalog.local,dealer
2013,HYUNDAI,Sonata,GLS,sedan,automatic,5npeb4ac2dh532187,il,39,52340,gray,black,hyundai motor finance,11200,11700,Wed Feb 18 2015 03:00:00 GMT-0800 (PST),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2011,SUBARU,Outback,2.5i,wagon,automatic,4s4brbac4b3367812,wa,36,74230,green,gray,subaru motors finance,11800,11500,Mon Jan 26 2015 09:00:00 GMT-0800 (PST),Good Price,seed-dealer-001,dealer@carcatalog.local,dealer
2014,KIA,Optima,LX,sedan,automatic,5xxgm4a77eg312543,mo,45,27890,silver,black,kia motors finance,13500,14200,Thu Feb 26 2015 04:00:00 GMT-0800 (PST),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2008,HONDA,CR-V,EX,suv,automatic,jhlre38748c045621,pa,22,124500,gold,tan,honda financial services,8600,8100,Fri Jan 09 2015 11:00:00 GMT-0800 (PST),Good Price,seed-dealer-001,dealer@carcatalog.local,dealer
2013,MAZDA,Mazda3,i Touring,hatchback,automatic,jm1bl1lp5d1724618,ca,42,43210,red,black,mazda financial services,12100,12600,Tue Mar 17 2015 02:00:00 GMT-0700 (PDT),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2010,TOYOTA,Prius,II,hatchback,automatic,jtdkn3du9a1245871,wa,31,87620,blue,gray,toyota motor credit corp,10500,9900,Wed Feb 04 2015 10:00:00 GMT-0800 (PST),Good Price,seed-dealer-001,dealer@carcatalog.local,dealer
2012,DODGE,Charger,SE,sedan,automatic,2c3cdxbg7ch203847,fl,38,48320,black,black,chrysler capital,16200,17000,Mon Apr 06 2015 03:00:00 GMT-0700 (PDT),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2009,MERCEDES-BENZ,C-Class,C300,sedan,automatic,wddgf8bb6ar162857,ny,19,107400,silver,black,mercedes-benz financial services,11800,11200,Tue Jan 20 2015 07:00:00 GMT-0800 (PST),Good Price,seed-dealer-001,dealer@carcatalog.local,dealer
2015,TOYOTA,Camry,SE,sedan,automatic,4t1bf1fk3fu902341,tx,48,9870,gray,black,toyota motor credit corp,16800,17500,Thu May 07 2015 02:30:00 GMT-0700 (PDT),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2011,AUDI,A4,2.0T,sedan,automatic,wauffafl8bn034562,ca,29,86100,white,black,audi financial services,17500,16800,Fri Feb 06 2015 09:00:00 GMT-0800 (PST),Good Price,seed-dealer-001,dealer@carcatalog.local,dealer
2013,CHEVROLET,Equinox,LS,suv,automatic,2gnaldek9d6239874,oh,40,55870,silver,gray,ally financial,13200,13800,Wed Mar 11 2015 03:30:00 GMT-0700 (PDT),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2010,HONDA,Pilot,EX-L,suv,automatic,5fnyf3h59ab034782,il,33,98400,black,beige,honda financial services,14200,13700,Mon Jan 12 2015 10:00:00 GMT-0800 (PST),Good Price,seed-dealer-001,dealer@carcatalog.local,dealer
2014,FORD,Focus,SE,hatchback,automatic,1fadp3k29el321543,mi,46,21560,red,black,ford motor credit company llc,12800,13500,Tue Apr 21 2015 02:00:00 GMT-0700 (PDT),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2012,TOYOTA,Highlander,LE,suv,automatic,5tdbk3eh0cs131245,ga,37,67530,silver,beige,toyota motor credit corp,19800,20500,Thu Feb 19 2015 04:00:00 GMT-0800 (PST),Fair Market,seed-dealer-001,dealer@carcatalog.local,dealer
2009,DODGE,Journey,SE,suv,automatic,3d4ph5fg9at152634,nc,21,118320,blue,gray,wells fargo dealer services,6700,6200,Mon Jan 19 2015 08:30:00 GMT-0800 (PST),Good Price,seed-consumer-001,consumer@carcatalog.local,consumer
