year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,deal_rating
2006,PONTIAC,Torrent,Base,suv,automatic,2ckdl73f566101612,nj,33.0,106225.0,burgundy,beige,wells fargo dealer services,4950.0,5400.0,Wed Jan 07 2015 09:30:00 GMT-0800 (PST),Fair Market
2011,FORD,Escape,XLT,suv,automatic,1fmcu9dg7bkc44017,oh,33.0,49718.0,black,black,u s auto importing & sales,13800.0,12500.0,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT),Good Price
2008,FORD,Taurus,SEL,sedan,automatic,1fahp24w98g176305,oh,1.0,119604.0,silver,tan,santander consumer,4575.0,1600.0,Tue Feb 17 2015 05:00:00 GMT-0800 (PST),Great Deal
2012,NISSAN,Altima,2.5,sedan,automatic,1n4al2ap7cc163417,mo,34.0,41162.0,beige,beige,green toyota,11100.0,12700.0,Tue Jan 06 2015 03:00:00 GMT-0800 (PST),Fair Market
2010,BMW,3 Series,328i,sedan,automatic,wbaph7g51anm51988,ca,4.0,91609.0,blue,beige,century dealer services corp,11000.0,12200.0,Tue Dec 23 2014 12:00:00 GMT-0800 (PST),Fair Market
2008,SUZUKI,Forenza,Base,sedan,automatic,kl5jd56z88k807173,nc,24.0,84921.0,black,gray,santander consumer,2450.0,1700.0,Mon Jan 12 2015 09:30:00 GMT-0800 (PST),Good Price
2005,CHEVROLET,Suburban,1500 LS,suv,automatic,3gnfk16z65g137468,va,34.0,163749.0,blue,beige,prince frederick chrysler jeep dodge inc,5225.0,6500.0,Thu Feb 12 2015 01:35:00 GMT-0800 (PST),Fair Market
2012,FORD,Edge,Limited,suv,automatic,2fmdk3kc8cba26932,tx,42.0,38489.0,silver,tan,ford motor credit company llc,21100.0,22700.0,Thu Mar 05 2015 02:30:00 GMT-0800 (PST),Fair Market
2010,FORD,Escape,XLT,suv,automatic,1fmcu9d73akc62710,fl,39.0,72847.0,black,tan,j c auto world inc,9050.0,11000.0,Tue Feb 10 2015 01:30:00 GMT-0800 (PST),Fair Market
2012,BUICK,Verano,Base,sedan,automatic,1g4pp5sk8c4220503,fl,4.0,35503.0,gray,gray,auto trakk llc,12050.0,11800.0,Thu Feb 12 2015 01:30:00 GMT-0800 (PST),Fair Market
2013,NISSAN,Leaf,S,hatchback,automatic,1n4az0cp5dc401041,wa,41.0,19507.0,black,black,nissan-infiniti lt,8425.0,7900.0,Wed May 27 2015 05:30:00 GMT-0700 (PDT),Good Price
2013,NISSAN,Altima,2.5,sedan,automatic,1n4al3apxdn536882,ca,28.0,57080.0,white,black,the hertz corporation,10850.0,11000.0,Wed May 27 2015 05:30:00 GMT-0700 (PDT),Fair Market
2008,PONTIAC,G6,GT,sedan,automatic,1g2zh57n684189907,co,19.0,143575.0,black,black,wells fargo dealer services,3425.0,3400.0,Wed Feb 04 2015 03:45:00 GMT-0800 (PST),Fair Market
2009,KIA,Rio,LX,sedan,automatic,knade223796570980,tx,4.0,65585.0,silver,gray,university first federal credit union,4425.0,5000.0,Wed Jan 07 2015 10:05:00 GMT-0800 (PST),Fair Market
2014,FORD,Fusion,SE,sedan,automatic,1fa6p0h72e5377517,wi,47.0,35746.0,white,black,lease plan usa,14250.0,14300.0,Wed Mar 04 2015 02:00:00 GMT-0800 (PST),Fair Market
2014,CHRYSLER,Town And Country,Touring,minivan,automatic,2c4rc1bg9er382797,fl,4.0,19354.0,blue,black,enterprise holdings/gdp,19600.0,19800.0,Mon Mar 02 2015 04:30:00 GMT-0800 (PST),Fair Market
2013,LINCOLN,Mks,Base,sedan,automatic,1lnhl9ek1dg603461,il,48.0,22771.0,silver,black,ford motor credit company llc,23800.0,25400.0,Tue Jun 16 2015 04:00:00 GMT-0700 (PDT),Fair Market
